sample_size,run,ari,nmi,silhouette,num_clusters,time_sec
10000,0,0.919933020902,0.8248831234909701,0.474884502951403,5,3.8244104385375977
10000,1,0.9603816840311077,0.877733235373698,0.5255302316362207,5,3.83016037940979
10000,2,0.9578620670384917,0.8775059668354466,0.4944278276897949,5,3.6850221157073975
10000,3,0.929294795941788,0.8484291758148025,0.48080831746237734,5,4.000489950180054
10000,4,0.9384667821344119,0.8497952014679936,0.4930883875428915,5,3.714986801147461
20000,0,0.9244676215355948,0.8265230033280051,0.4736116880031264,5,15.694812774658203
20000,1,0.49260099581248495,0.6920636793182966,0.24630125695425054,5,14.771342277526855
20000,2,0.9595739176371005,0.8794050174155735,0.5138892596969159,5,15.863551378250122
20000,3,0.9310884958422257,0.8532016471746493,0.48055699778993166,5,14.946861743927002
20000,4,0.9285551589401334,0.853244431193409,0.49173429259438656,5,15.71790361404419
40000,0,0.9209177526628848,0.8238776134390902,0.4735086238025204,5,81.23745131492615
40000,1,0.948710064662238,0.8677338957130055,0.5215621128954386,5,88.78827452659607
40000,2,0.9561027371380518,0.8716134672688639,0.5227757839691899,5,83.12141275405884
40000,3,0.9255962588174095,0.8281277077189504,0.48491956005572284,5,89.05184245109558
40000,4,0.925235592324671,0.84839846609386,0.48894733382095384,5,81.51176023483276
60000,0,0.9207996952736954,0.8247094306321451,0.47204013313298704,5,260.3990662097931
60000,1,0.9525672620706697,0.8728734846833037,0.5094515500372123,5,284.8760702610016
60000,2,0.9581720442344397,0.8773484960789604,0.5266545121157383,5,248.79528093338013
60000,3,0.9259544555029988,0.8280680046914637,0.48122756800599414,5,260.7028138637543
60000,4,0.9287521497119071,0.850072275405503,0.48594328119485897,5,287.06189584732056
80000,0,0.9201870588787218,0.8282776135574577,0.4663756115401195,5,544.984744310379
80000,1,0.9249476431346568,0.8408399247193309,0.473791237307261,5,446.24090671539307
80000,2,0.9566176110211307,0.8759000333703403,0.5271934609906158,5,618.1855623722076
80000,3,0.9179287024986258,0.8088758245094511,0.4756012713775406,5,636.7021820545197
80000,4,0.9232137676272592,0.836300241927128,0.4830452309724527,5,538.7669746875763
