sample_size,run,ari,nmi,silhouette,num_clusters,time_sec
10000,0,0.8901980502910952,0.7772219995302043,0.287273088223888,17,1.1503772735595703
10000,1,0.9135961774608728,0.8186920815388005,0.47565984162342556,13,1.2174837589263916
10000,2,0.9113798628321577,0.7990424062493632,0.4558999683833006,11,1.221273422241211
10000,3,0.9137912838202051,0.8221510067034636,0.4291052350960938,10,1.3637735843658447
10000,4,0.9264996086842682,0.8294607671802452,0.32667962763996816,12,1.227768898010254
20000,0,0.910017796407363,0.8032381041963432,0.3044704734239848,16,3.872211217880249
20000,1,0.9201772555070789,0.83100399726296,0.37946036259703986,17,4.33760929107666
20000,2,0.9293446347385589,0.8298577278668989,0.3785346546492819,19,4.407218933105469
20000,3,0.9235239094639083,0.8387334725961123,0.4429492722591662,14,3.9419665336608887
20000,4,0.9305665231146976,0.8405677468405826,0.32561082399075647,20,4.35666823387146
40000,0,0.9168709288161773,0.8161015376870842,0.33337714929010354,19,15.876688003540039
40000,1,0.9294538489939443,0.8482904397077663,0.4669091703241049,14,14.720143556594849
40000,2,0.934647949007549,0.8481398973267763,0.46624083741790073,18,15.715548515319824
40000,3,0.9136452348250066,0.797910106835699,0.36229376769843563,24,15.725059509277344
40000,4,0.6545803489576051,0.6755224816580085,0.2033000348004149,16,16.71126627922058
60000,0,0.9220137097883774,0.8265371152635628,0.30295386742741964,24,37.193246841430664
60000,1,0.9283864706390466,0.843153984404701,0.3532309480626995,23,32.79491710662842
60000,2,0.9369494180180653,0.8541638351309541,0.3922398264557483,19,38.28216338157654
60000,3,0.9130054982069636,0.7992184657002865,0.2771419007165731,26,34.77395415306091
60000,4,0.6527806722763246,0.6817928219317096,0.11141281554327188,22,34.6888689994812
80000,0,0.9237775534241588,0.8302414991058142,0.3115100372838047,23,61.19260835647583
80000,1,0.9243393791265434,0.828236754970669,0.2963953417135537,28,66.0002429485321
80000,2,0.937123963041793,0.8578370699264751,0.36209433727534734,23,64.40202522277832
80000,3,0.6281220183007327,0.6451652616306082,0.04326399841761582,32,65.31381177902222
80000,4,0.5640757692857106,0.6072282492577666,0.05455350480875275,22,67.95311188697815
